"","324","325","327","328","329","483","484","485","486","487","488","489","490","491","492","554","555","557","558","559","600","601","602","603","604","605","606","607","608","609"
"559",6.74151464450697e-07,2.9963018710012e-07,2.61458053696132e-07,3.01518818874787e-07,2.57865009546108e-07,2.40449854703073e-07,2.60892257200676e-07,2.78750055188951e-07,3.11015777139931e-07,2.54003132702821e-07,1.86482126671e-07,3.04476829234202e-07,3.18101098978744e-07,2.89331977625241e-07,3.33562235587176e-07,3.47788810431575e-07,3.59766565896285e-07,2.99397615592539e-07,2.68701768282073e-07,2.26630313687296e-07,2.51802815683193e-07,2.7464875018223e-07,2.44293781985298e-07,2.87958870833179e-07,2.70505474100356e-07,3.16064423611819e-07,2.80974216860827e-07,3.28654069495404e-07,2.93133944761969e-07,2.5649802689942e-07
"600",7.15596938470825e-07,8.05154061707377e-08,1.14993874344e-07,9.50493442940723e-08,8.96755856715003e-08,1.22060103449399e-07,8.99641989284781e-08,7.01326496676984e-08,9.51127879166767e-08,1.06327767247021e-07,1.70802163554319e-07,8.74939556769931e-08,9.61822896459298e-08,7.67740993646206e-08,1.05359945243964e-07,1.18892511845911e-07,1.30042671315619e-07,8.49883800083745e-08,1.11070947069922e-07,2.51802815683193e-07,9.08774759571182e-08,1.09467427234862e-07,1.05973389514858e-07,8.02966169331036e-08,8.87329232104628e-08,9.95189278240333e-08,1.17134685707772e-07,1.04429358840865e-07,8.08036735439943e-08,1.12355079463877e-07
"601",7.29234554801634e-07,9.2824815407609e-08,1.28386340550223e-07,1.14058196137297e-07,1.11737223136651e-07,1.39713993229565e-07,1.16690209360089e-07,9.39103035848041e-08,1.13399025924823e-07,1.38883141467159e-07,1.88381230079763e-07,1.0005062412566e-07,1.06495907371587e-07,9.23168775936714e-08,9.66561918881727e-08,1.11226593677664e-07,1.13696824702571e-07,1.03968548593371e-07,1.22845118751694e-07,2.7464875018223e-07,1.09467427234862e-07,1.39240534102356e-07,1.29382044377446e-07,9.81887856785828e-08,1.03685467796479e-07,1.13372247855381e-07,1.32744735835841e-07,9.632890247435e-08,9.64567966613182e-08,1.31737406778177e-07
"602",7.08603461309907e-07,1.04016418758784e-07,1.32015048637405e-07,1.14548412045664e-07,1.11859476321007e-07,1.34132080549935e-07,1.07965173855583e-07,9.2536984829071e-08,1.17625475684647e-07,1.28110639892015e-07,1.64400147277789e-07,1.13382188018305e-07,1.18347531464029e-07,1.01924881089644e-07,1.28557699845667e-07,1.42438420438668e-07,1.53623709774123e-07,1.06243256651737e-07,1.28119902090709e-07,2.44293781985298e-07,1.05973389514858e-07,1.29382044377446e-07,1.40086466874424e-07,1.05364389068053e-07,1.10251304405941e-07,1.23452286765672e-07,1.34363735064896e-07,1.2773776060181e-07,1.02343992050068e-07,1.28986873238574e-07
"603",7.26866872384355e-07,5.29983282948425e-08,1.063595696997e-07,7.75110449642428e-08,8.47703715657403e-08,1.27069314185767e-07,8.65848354224932e-08,5.27561349746453e-08,7.07781419721709e-08,1.15966320229463e-07,1.9311969855568e-07,6.04982022804226e-08,6.49760204738739e-08,5.21379544362012e-08,6.6522442180318e-08,7.7077560212784e-08,8.78688554096877e-08,6.11484186138587e-08,9.94058844164295e-08,2.87958870833179e-07,8.02966169331036e-08,9.81887856785828e-08,1.05364389068053e-07,6.86808228335633e-08,7.20958305277578e-08,7.30417889595342e-08,1.04691487811096e-07,6.70769255564785e-08,5.64469448576668e-08,1.08673193781596e-07
"604",7.16127479087261e-07,6.63662977011779e-08,1.02277359877911e-07,9.73676149048519e-08,8.79339568285897e-08,1.2257059417277e-07,9.98281705582369e-08,6.55731279483722e-08,9.38188693485341e-08,1.28841949910624e-07,1.69568187362981e-07,7.62689445889196e-08,8.41866040425805e-08,6.05615598206284e-08,8.08995027527606e-08,1.00353416916141e-07,1.09705797666488e-07,7.88449400395075e-08,9.63027384258077e-08,2.70505474100356e-07,8.87329232104628e-08,1.03685467796479e-07,1.10251304405941e-07,7.20958305277578e-08,8.74400413444096e-08,9.51649556925937e-08,1.13286452981891e-07,7.97175283918815e-08,6.91554885433479e-08,1.1113856589841e-07
"605",7.46129678334859e-07,6.09417761474934e-08,1.31100709106485e-07,6.05148672698792e-08,1.06866987222585e-07,1.40955625560908e-07,8.65157810829355e-08,6.6532140814891e-08,4.48764657607523e-08,1.13140216080527e-07,2.30401628559183e-07,6.56515136888622e-08,4.68935208070983e-08,7.39825810150736e-08,6.55249106066625e-08,5.77090724824059e-08,7.14160048581313e-08,5.41998714993767e-08,1.22959957372702e-07,3.16064423611819e-07,9.95189278240333e-08,1.13372247855381e-07,1.23452286765672e-07,7.30417889595342e-08,9.51649556925937e-08,6.09195869808982e-08,1.06066570169392e-07,7.28937336149266e-08,6.62394165392968e-08,1.19383924808e-07
"606",7.30102412663563e-07,1.00663045732909e-07,1.39080734690407e-07,1.0628251571284e-07,1.2070154761575e-07,1.43285615082688e-07,1.13848346832813e-07,9.70024973561989e-08,1.00580177043641e-07,1.357256617074e-07,1.9432350000788e-07,1.06628915633187e-07,9.92718053540917e-08,1.0163783743757e-07,1.14814537161785e-07,1.13622452720006e-07,1.25311860267219e-07,9.78347006079522e-08,1.34767047981725e-07,2.80974216860827e-07,1.17134685707772e-07,1.32744735835841e-07,1.34363735064896e-07,1.04691487811096e-07,1.13286452981891e-07,1.06066570169392e-07,1.54171202055129e-07,1.16207288414632e-07,1.01729927265254e-07,1.34709417035644e-07
"607",7.48474299061066e-07,4.82707134028166e-08,1.16245436909885e-07,8.36428286815222e-08,1.00686037649237e-07,1.4868741596753e-07,1.10327053270394e-07,6.70873111024872e-08,7.75077413800298e-08,1.44918898122335e-07,2.27871571305702e-07,5.68807543579907e-08,6.10932857928953e-08,5.27334492491907e-08,2.93833743037647e-08,5.04124297915462e-08,5.01865657512877e-08,6.90595012489717e-08,1.05072532579288e-07,3.28654069495404e-07,1.04429358840865e-07,9.632890247435e-08,1.2773776060181e-07,6.70769255564785e-08,7.97175283918815e-08,7.28937336149266e-08,1.16207288414632e-07,3.95375077768499e-08,5.82192729736085e-08,1.26986386048914e-07
"608",7.27872574332427e-07,4.61706423971397e-08,1.05740134941544e-07,6.6608338869585e-08,8.12498143572523e-08,1.2737380483143e-07,8.07007864199985e-08,4.61811143180261e-08,6.23727865653064e-08,1.13852768723823e-07,1.9717256024775e-07,5.63761563431001e-08,5.53516496031028e-08,4.57587578103512e-08,5.74788186243333e-08,7.16742480028776e-08,8.14803326402995e-08,5.17494823373583e-08,9.69325465662838e-08,2.93133944761969e-07,8.08036735439943e-08,9.64567966613182e-08,1.02343992050068e-07,5.64469448576668e-08,6.91554885433479e-08,6.62394165392968e-08,1.01729927265254e-07,5.82192729736085e-08,5.72466090249202e-08,1.07974891083033e-07
"609",7.15194146367699e-07,1.07408007715205e-07,1.29592972683214e-07,1.19323248665828e-07,1.17042819826476e-07,1.34771854915436e-07,1.16537764586783e-07,1.02059249451086e-07,1.15349833763448e-07,1.34399480965249e-07,1.67815855108428e-07,1.14025944619227e-07,1.14005747908459e-07,1.06243314100952e-07,1.26589691402562e-07,1.34294057888506e-07,1.47110472301045e-07,1.09349934839905e-07,1.26652397883378e-07,2.5649802689942e-07,1.12355079463877e-07,1.31737406778177e-07,1.28986873238574e-07,1.08673193781596e-07,1.1113856589841e-07,1.19383924808e-07,1.34709417035644e-07,1.26986386048914e-07,1.07974891083033e-07,1.51802357868191e-07
